Country,City,Operator Name,He Photon And Electron Beam Rt,Proton Ion Therapy,XRay Generator,Brachy Therapy Inc El,Last Update,Latitude,Longitude
Argentina,Cordoba,Instituto Zunino,5,0,0,2,2023.0,-31.4260046,-64.1818511
Argentina,CORRIENTES,CENTRO DE RADIOT Y MED. NUC. DEL HTL. BIDOL DE COR (Hospital Vidal),1,0,0,0,2012.0,-27.4692131,-58.8306349
Argentina,CORRIENTES,Centro de Computación Medica del Nordeste S.A,1,0,0,0,2019.0,-27.4713845,-58.8196444
Argentina,Corrientes,Centro Oncológico Anna Rocca de Bonatti,0,0,0,1,2021.0,-29.7909883,-58.0636967
Argentina,Derqui,Hospital Universitario Austral,2,0,0,0,2021.0,-34.4571652,-58.8654433
Argentina,General Pico,Centro de Oncología y Terapia Radiante S.A.,1,0,0,0,2019.0,-35.6593239,-63.7577887
Argentina,General Roca,UNIDAD INTEGRAL DE ONCOLOGIA,1,0,0,1,2020.0,-39.0295061,-67.5759327
Argentina,JUNIN,Hospital Interzonal General de Agudos,1,0,0,0,2019.0,-34.5885499,-60.949554
Argentina,JUNIN,Centro de terapia radiante - SANATORIO JUNIN,2,0,0,0,2019.0,-34.5941462,-60.951968
Argentina,La Plata,INSTITUTO TERAPIA RADIANTE,2,0,0,1,2019.0,-34.9188551,-57.9389572
Argentina,Lomas de Zamora,Emprendimientos Médicos Tecnológicos S.A,1,0,0,0,2019.0,-34.7611823,-58.4302476
Argentina,Lomas de Zamora,INSTITUTO ACEVEDO,2,0,0,1,2016.0,-34.7564407,-58.4000866
Argentina,Mar del Plata,CENTRO PRIVADO DE ONCOLOGIA Y RADIOTERAPIA SA,2,0,0,0,2019.0,-37.9972137,-57.5638706
Argentina,Mar del Plata,Hospital Privado de Comunidad, Centro de Radiaciones de la Costa,2,0,1,0.0,-38.0217632,-57.5657083
Argentina,Mendoza,Fundacion Escuela de Medicina Nuclear (FUESMEN),3,0,1,1,2023.0,-32.8913731,-68.832756
Argentina,Mendoza,Instituto Radioterapia Cuyo,2,0,0,1,2019.0,-32.8873405,-68.8324712
